Type,Size_in_bytes,Minimum,Maximum
char,1,-128,127
signed char,1,-128,127
unsigned char,1,0,255
short,2,-32768,32767
signed short,2,-32768,32767
unsigned short,2,0,65535
short int,2,-32768,32767
signed short int,2,-32768,32767
unsigned short int,2,0,65535
int,4,-2147483648,2147483647
signed int,4,-2147483648,2147483647
unsigned int,4,0,4294967295
signed,4,-2147483648,2147483647
unsigned,4,0,4294967295
long,8,-9223372036854775808,9223372036854775807
signed long,8,-9223372036854775808,9223372036854775807
unsigned long,8,0,18446744073709551615
long int,8,-9223372036854775808,9223372036854775807
signed long int,8,-9223372036854775808,9223372036854775807
unsigned long int,8,0,18446744073709551615
long long,8,-9223372036854775808,9223372036854775807
signed long long,8,-9223372036854775808,9223372036854775807
unsigned long long,8,0,18446744073709551615
long long int,8,-9223372036854775808,9223372036854775807
signed long long int,8,-9223372036854775808,9223372036854775807
unsigned long long int,8,0,18446744073709551615
float,4,1.17549e-38,3.40282e+38
double,8,2.22507e-308,1.79769e+308
long double,8,2.22507e-308,1.79769e+308
pointer,8,0,0
_Bool,1,0,1
enum,4,-2147483648,2147483647
